,points,title,description,price,variety,region_1,region_2,province,country,winery
22,90,Montes 2010 Limited Selection Sauvignon Blanc (Leyda Valley),"This SB has one of Chile's best track records for high quality. The nose and flavors both exceed norms, with the former showing bold citrus, lime and melon aromas and the latter revolving around grapefruit, lime and gooseberry. It's ripe, healthy, pithy, acid-driven and piercing. Summer sipping calls.",15.0,Sauvignon Blanc,,,Leyda Valley,Chile,Montes
26,90,Kingston Family 2009 Alazan Pinot Noir (Casablanca Valley),"Always at the top of the Chilean Pinot heap is this true, complex wine from Kingston Family. The nose features light raspberry, citrus, oceanic brine and toasty, creamy oak. The palate is lush and rolls across the tongue with ease; ripe fruit in the cherry zone along with cocoa and spice make for fine flavors. Finishes with purity, smooth tannins and herbal twinges.",30.0,Pinot Noir,,,Casablanca Valley,Chile,Kingston Family
31,90,Errazuriz 2008 The Blend Limited Edition Red (Aconcagua Valley),"Alluring on the nose, with a ton of dried spice, mocha and tobacco aromas to go with beefy, berry fruit notes. Despite its darkness and size, this wine delivers bright, juicy acidity and then herbal cassis and berry flavors. Tobacco, herbs and length define the finish. A blend of five red grapes, including Mourvèdre and Petit Verdot; drink now through 2013.",35.0,Red Blend,,,Aconcagua Valley,Chile,Errazuriz
116,90,Viña Maipo 2010 Limited Edition Syrah (Maipo Valley),"Strong, dark aromas of blackberry and cassis are tight and dense. This concentrated, voluminous wine has tangy acidity and flavors of savory spice, chocolate and baked berries. An herbal finish with olive and leathery flavors comes with a racy, tangy feel. Drink through 2018.",33.0,Syrah,,,Maipo Valley,Chile,Viña Maipo
222,86,Tololo 2013 Sauvignon Blanc (Curicó Valley),"With grapefruit and orange aromas, this is on the ripe side, but the feel is fresh and flavors of citrus, white pepper, arugula and briny melon get the job done. Drink this quaffer soon and it will satisfy; hold it too long and it will lose its fresh character.",10.0,Sauvignon Blanc,,,Curicó Valley,Chile,Tololo
228,86,Chilensis 2012 Reserva Merlot (Maule Valley),"Crisp, direct aromas of cherry and briar define the nose on this herbal Merlot. A zesty palate is driven by snappy acidity, while herbal flavors of raspberry and spice finish with a raw feel and controlled green notes.",12.0,Merlot,,,Maule Valley,Chile,Chilensis
232,86,Errazuriz 2012 Max Reserva Chardonnay (Aconcagua Valley),"Hailing from a very warm vintage, this smells like buttered movie popcorn and baked apple. In the mouth, there's adequate acidity and a touch of minerality. Flavors of tropical fruits run sweet and woody, while the finish drips honey and banana flavors.",20.0,Chardonnay,,,Aconcagua Valley,Chile,Errazuriz
573,87,Viña Maipo 2014 Vitral Cabernet Sauvignon (Chile),"While this smells a touch green and scratchy, there's enough berry and plum to the nose to get it going in a good way. Fresh and medium-bodied, this tastes of medicinal cherry and plum along with herbs. The finish tastes similar.",13.0,Cabernet Sauvignon,,,Chile,Chile,Viña Maipo
576,87,Archer Roose NV Carmenère (Colchagua Valley),"Don't fear the box! Aromas of red berry, briar patch, olive and rooty spice are varietally correct. This feels right, with a bolstering shot of acidity. Leafy, baked-plum flavors finish herbal and peppery.",30.0,Carmenère,,,Colchagua Valley,Chile,Archer Roose
791,89,Kingston Family 2013 Alazan Pinot Noir (Casablanca Valley),"Fresh aromas of raspberry and cherry are slightly earthy. This shows purity and balance on the palate, while flavors of strawberry, raspberry and red plum come with chocolaty oak and mild spice. A dry finish tastes of oak-driven chocolate and crushed black pepper.",32.0,Pinot Noir,,,Casablanca Valley,Chile,Kingston Family
793,89,Koyle 2013 Costa Sauvignon Blanc (Colchagua Valley),"Hailing from the coolest section of Colchagua's coastline, this is almost neutral on the nose except for some citrus and sweaty notes. The palate is full, chunky and noticeably more creamy than past vintages. Grapefruit, passion fruit and briny flavors finish full and citrusy. Drink now.",24.0,Sauvignon Blanc,,,Colchagua Valley,Chile,Koyle
805,89,San Pedro 2010 1865 Single Vineyard Syrah (Cachapoal Valley),"Spicy plum and cherry aromas are oaky and smell a bit like freshly laid cement. This is more tight and racy than fat or heavy, evidence of a cool vintage. Lightly herbal flavors of currant and plum are spicy and finish with oak-driven notes of toast as well as green olive and pointed acidity. Drink through 2017.",19.0,Syrah,,,Cachapoal Valley,Chile,San Pedro
